NOMBRE_EVENTO,FECHA_EVENTO,COMUNIDAD,ARCHIVO_ORIGEN,NUM_INSCRITAS,NUM_PAGOS,NUM_ASISTENCIAS,TOTAL_RECAUDADO,DIA_MES,SEMANA_MES_AÑO,SEMANA_DENTRO_DEL_MES,MES,DIA_SEMANA,AÑO,DIA_SEMANA_NUM,TEMPORADA,PRECIO_MEDIO,EVENTO_GRATUITO,TIPO_EVENTO,COSTE_UNITARIO,COSTE_UNITARIO_VALIDADO,COLABORACION,TIPO_ACTIVIDAD,TEMPERATURA
Afterwork Run By Dash And Stars,2025-04-17,ELCHE,eventos_crudos_unificados.csv,12,12,12,180.0,17,16,3,4,Thursday,2025,3,primavera,15.0,0,pago,,,,,10.9
Dash And Stars Run,2025-02-09,GIRONA,eventos_crudos_unificados.csv,25,25,25,375.0,9,6,2,2,Sunday,2025,6,invierno,15.0,0,pago,,,,,6.1
Dimecres Morning Run  Cet,2024-05-01,GIRONA,eventos_crudos_unificados.csv,12,0,12,0.0,1,18,1,5,Wednesday,2024,2,primavera,0.0,1,gratuito,,,,,14.3
Els Dimecres Amb Sisterhood,2024-02-14,GIRONA,eventos_crudos_unificados.csv,9,0,9,0.0,14,7,2,2,Wednesday,2024,2,invierno,0.0,1,gratuito,,,,,10.7
Els Dimecres Amb Sisterhood,2024-02-21,GIRONA,eventos_crudos_unificados.csv,11,0,11,0.0,21,8,3,2,Wednesday,2024,2,invierno,0.0,1,gratuito,,,,,9.8
Els Dimecres Amb Sisterhood,2024-02-28,GIRONA,eventos_crudos_unificados.csv,7,0,7,0.0,28,9,4,2,Wednesday,2024,2,invierno,0.0,1,gratuito,,,,,12.2
Els Dimecres Amb Sisterhood,2024-03-13,GIRONA,eventos_crudos_unificados.csv,13,0,13,0.0,13,11,2,3,Wednesday,2024,2,primavera,0.0,1,gratuito,,,,,10.2
Els Dimecres Amb Sisterhood,2024-03-20,GIRONA,eventos_crudos_unificados.csv,9,0,9,0.0,20,12,3,3,Wednesday,2024,2,primavera,0.0,1,gratuito,,,,,13.1
Els Dimecres Amb Sisterhood,2024-03-27,GIRONA,eventos_crudos_unificados.csv,4,0,4,0.0,27,13,4,3,Wednesday,2024,2,primavera,0.0,1,gratuito,,,,,10.7
Els Dimecres Amb Sisterhood,2024-04-10,GIRONA,eventos_crudos_unificados.csv,14,0,14,0.0,10,15,2,4,Wednesday,2024,2,primavera,0.0,1,gratuito,,,,,10.8
Els Dimecres Amb Sisterhood,2024-04-17,GIRONA,eventos_crudos_unificados.csv,11,0,11,0.0,17,16,3,4,Wednesday,2024,2,primavera,0.0,1,gratuito,,,,,12.5
Els Dimecres Amb Sisterhood,2024-04-24,GIRONA,eventos_crudos_unificados.csv,12,0,12,0.0,24,17,4,4,Wednesday,2024,2,primavera,0.0,1,gratuito,,,,,9.3
Els Dimecres Amb Sisterhood,2024-05-08,GIRONA,eventos_crudos_unificados.csv,7,0,7,0.0,8,19,2,5,Wednesday,2024,2,primavera,0.0,1,gratuito,,,,,16.1
Els Dimecres Amb Sisterhood,2024-05-15,GIRONA,eventos_crudos_unificados.csv,2,0,2,0.0,15,20,3,5,Wednesday,2024,2,primavera,0.0,1,gratuito,,,,,13.6
Els Dimecres Amb Sisterhood,2024-05-22,GIRONA,eventos_crudos_unificados.csv,9,0,9,0.0,22,21,4,5,Wednesday,2024,2,primavera,0.0,1,gratuito,,,,,14.8
Els Dimecres Amb Sisterhood,2024-05-29,GIRONA,eventos_crudos_unificados.csv,5,0,5,0.0,29,22,5,5,Wednesday,2024,2,primavera,0.0,1,gratuito,,,,,19.7
Els Dimecres Amb Sisterhood,2024-06-05,GIRONA,eventos_crudos_unificados.csv,9,0,9,0.0,5,23,1,6,Wednesday,2024,2,verano,0.0,1,gratuito,,,,,20.6
Els Dimecres Amb Sisterhood,2024-06-12,GIRONA,eventos_crudos_unificados.csv,2,0,2,0.0,12,24,2,6,Wednesday,2024,2,verano,0.0,1,gratuito,,,,,15.1
Els Dimecres Amb Sisterhood,2024-06-19,GIRONA,eventos_crudos_unificados.csv,12,0,12,0.0,19,25,3,6,Wednesday,2024,2,verano,0.0,1,gratuito,,,,,21.2
Els Dimecres Amb Sisterhood,2024-06-26,GIRONA,eventos_crudos_unificados.csv,2,0,2,0.0,26,26,4,6,Wednesday,2024,2,verano,0.0,1,gratuito,,,,,23.1
Els Dimecres Amb Sisterhood,2024-07-03,GIRONA,eventos_crudos_unificados.csv,10,0,10,0.0,3,27,1,7,Wednesday,2024,2,verano,0.0,1,gratuito,,,,,21.3
Els Dimecres Amb Sisterhood,2024-07-10,GIRONA,eventos_crudos_unificados.csv,4,0,4,0.0,10,28,2,7,Wednesday,2024,2,verano,0.0,1,gratuito,,,,,25.0
Els Dimecres Amb Sisterhood,2024-07-17,GIRONA,eventos_crudos_unificados.csv,3,0,3,0.0,17,29,3,7,Wednesday,2024,2,verano,0.0,1,gratuito,,,,,24.3
Els Dimecres Amb Sisterhood,2024-09-04,GIRONA,eventos_crudos_unificados.csv,6,0,6,0.0,4,36,1,9,Wednesday,2024,2,otoño,0.0,1,gratuito,,,,,19.3
Els Dimecres Amb Sisterhood,2024-09-18,GIRONA,eventos_crudos_unificados.csv,4,0,4,0.0,18,38,3,9,Wednesday,2024,2,otoño,0.0,1,gratuito,,,,,18.3
Els Dimecres Amb Sisterhood,2024-09-25,GIRONA,eventos_crudos_unificados.csv,7,0,7,0.0,25,39,4,9,Wednesday,2024,2,otoño,0.0,1,gratuito,,,,,19.6
Els Dimecres Amb Sisterhood,2024-10-02,GIRONA,eventos_crudos_unificados.csv,10,0,10,0.0,2,40,1,10,Wednesday,2024,2,otoño,0.0,1,gratuito,,,,,18.0
Els Dimecres Amb Sisterhood,2024-10-09,GIRONA,eventos_crudos_unificados.csv,12,0,12,0.0,9,41,2,10,Wednesday,2024,2,otoño,0.0,1,gratuito,,,,,21.6
Els Dimecres Amb Sisterhood,2024-10-16,GIRONA,eventos_crudos_unificados.csv,1,0,1,0.0,16,42,3,10,Wednesday,2024,2,otoño,0.0,1,gratuito,,,,,20.5
Els Dimecres Amb Sisterhood,2024-10-23,GIRONA,eventos_crudos_unificados.csv,1,0,1,0.0,23,43,4,10,Wednesday,2024,2,otoño,0.0,1,gratuito,,,,,17.3
Els Dimecres Amb Sisterhood,2024-10-30,GIRONA,eventos_crudos_unificados.csv,2,0,2,0.0,30,44,5,10,Wednesday,2024,2,otoño,0.0,1,gratuito,,,,,17.8
Els Dimecres Amb Sisterhood,2024-11-13,GIRONA,eventos_crudos_unificados.csv,1,0,1,0.0,13,46,2,11,Wednesday,2024,2,otoño,0.0,1,gratuito,,,,,11.6
Els Dimecres Amb Sisterhood,2024-11-20,GIRONA,eventos_crudos_unificados.csv,4,0,4,0.0,20,47,3,11,Wednesday,2024,2,otoño,0.0,1,gratuito,,,,,13.2
Els Dimecres Amb Sisterhood,2024-11-27,GIRONA,eventos_crudos_unificados.csv,2,0,2,0.0,27,48,4,11,Wednesday,2024,2,otoño,0.0,1,gratuito,,,,,10.5
